Comment,Designator,Footprint,LCSC,Quantity
1 uF,"C1,C2,C3",C_0805_2012Metric,C28323,3
100k,"R1,R2",R_0805_2012Metric,C149504,2
10k,R3,R_0805_2012Metric,C17414,1
2.54-3P TPGT,SW1,C7421520_SW-SMD_6P-L7_6-W6_0-P2_54-LS9_3-BL,C7421520,1
5.8 WSPT,SW2,C5379898_SW-TH_6P-L5_8-W5_8-P2_00-LS4_5-TL_K8-5851E-L1,C5379898,1
AO4407A_C2841482,Q1,C2841482_SOP-8_L5_0-W4_0-P1_27-LS6_0-BL,C2841482,1
BZX84C12,D2,SOT-23,C19077471,1
CH224A,U1,C42459160_ESSOP-10_L4_9-W3_9-P1_0-LS6_0-TL-EP,C42459160,1
SMAJ24A,D1,D_SMA,C19077541,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
Vout,J2,WJ500V-5.08-2P,C8465,1
