Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1 uF,C_0805_2012Metric,182.01,-135.01,-90.0,top
C2,1 uF,C_0805_2012Metric,203.33,-135.67,-90.0,top
C3,1 uF,C_0805_2012Metric,205.42,-135.66,-90.0,top
D1,SMAJ24A,D_SMA,193.33,-142.63,-90.0,top
D2,BZX84C12,SOT-23,197.3375,-144.26,90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,159.09,-140.02,90.0,top
J2,Vout,WJ500V-5.08-2P,214.11,-140.03,90.0,top
Q1,AO4407A_C2841482,C2841482_SOP-8_L5_0-W4_0-P1_27-LS6_0-BL,200.55,-139.99,-90.0,top
R1,100k,R_0805_2012Metric,188.0,-135.0275,90.0,top
R2,100k,R_0805_2012Metric,197.32,-147.12,0.0,top
R3,10k,R_0805_2012Metric,200.79,-147.13,0.0,top
SW1,2.54-3P TPGT,C7421520_SW-SMD_6P-L7_6-W6_0-P2_54-LS9_3-BL,171.47,-146.09,90.0,top
SW2,5.8 WSPT,C5379898_SW-TH_6P-L5_8-W5_8-P2_00-LS4_5-TL_K8-5851E-L1,171.31,-133.09,-90.0,top
U1,CH224A,C42459160_ESSOP-10_L4_9-W3_9-P1_0-LS6_0-TL-EP,185.005,-140.0,-90.0,top
