Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1 uF,C_0603_1608Metric,129.539805,-109.593582,-90.0,top
C2,1 uF,C_0603_1608Metric,127.35543,-110.405539,90.0,top
C3,1 uF,C_0603_1608Metric,131.178086,-109.864234,90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,103.9,-106.175,90.0,top
R1,10k,R_0603_1608Metric,131.041563,-103.639234,90.0,top
R2,1k,R_0603_1608Metric,131.451133,-106.751734,90.0,top
R5,10k,R_0603_1608Metric,127.149766,-101.682713,180.0,top
R6,10k,R_0603_1608Metric,124.009727,-101.682713,0.0,top
R7,10k,R_0603_1608Metric,130.202355,-101.403043,0.0,top
SW1,CFG,SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile,116.568711,-105.632278,0.0,top
TP1,VBUS,TestPoint_Pad_1.0x1.0mm,132.052355,-101.128043,0.0,bottom
TP2,GND,TestPoint_Pad_1.0x1.0mm,132.027355,-106.328043,0.0,bottom
TP3,3.3V,TestPoint_Pad_1.0x1.0mm,132.052355,-111.428043,0.0,bottom
U1,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,126.39625,-105.396408,90.0,top
U2,MCP1799x-500xxTT,SOT-23,124.459727,-110.050213,90.0,top
