Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1 uF,C15849
D1,D_SOD-123,1,BZT52B3V3,C19077392
D2,0603,1,LED,C2286
D3,D_SOD-323,1,SD24C-01F,C151295
D4,SOT-353_SC-70-5,1,PESD5V0L4UG,C80694
F2,0603,1,3A,C1512048
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"R1, R10, R5, R6, R7",0603,5,10k,C25804
"R2, R3",0603,2,1k,C21190
"R8, R9",0603,2,22,C23345
SW1,SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile,1,CFG,C7421520
TP1,TestPoint_Pad_1.0x1.0mm,1,VBUS,
TP2,TestPoint_Pad_1.0x1.0mm,1,GND,
TP3,TestPoint_Pad_1.0x1.0mm,1,3.3V,
U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,C970725
