Designator,Mid X,Mid Y,Rotation,Layer
C1,130.52,-109.815,270.0,top
C2,112.59,-111.47,0.0,top
D1,126.4025,-111.355,0.0,top
D2,118.77,-111.48,180.0,top
D3,109.38,-111.53,0.0,top
D4,109.2225,-102.2,180.0,top
F2,109.265,-109.855,0.0,top
J1,102.44,-106.175,270.0,top
R1,131.041563,-103.639234,90.0,top
R10,121.975,-111.49,0.0,top
R2,131.451133,-106.751734,90.0,top
R3,115.67,-111.48,180.0,top
R5,127.149766,-101.682713,180.0,top
R6,124.009727,-101.682713,0.0,top
R7,130.202355,-101.403043,0.0,top
R8,109.205,-105.23,0.0,top
R9,109.205,-107.74,0.0,top
SW1,116.568711,-105.625,180.0,top
TP1,132.052355,-101.128043,0.0,bottom
TP2,132.027355,-106.328043,0.0,bottom
TP3,132.052355,-111.428043,0.0,bottom
U1,126.39625,-105.396408,90.0,top
