Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C2, C6, C8, C9",0805,6,100nF,C307331
C12,0805,1,22 uF,C602037
C5,0805,1,10uF,C307331
C7,0805,1,10 uF,C2167673
D12,0805,1,3.3V LED,C98225
D4,0805,1,5V LED,C98225
F1,1206,1,500 mA,C135341
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J10,PinHeader_1x02_P2.54mm_Vertical,1,5V,C42431798
J11,PinHeader_1x02_P2.54mm_Vertical,1,3.3V,C42431798
J12,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,4.5-36V,C5183929
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,MOTOR_1_OUT,C5183929
J3,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,MOTOR_2_OUT,C5183929
J4,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,MOTOR_3_OUT,C5183929
J5,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,MOTOR_4_OUT,C5183929
J6,PinHeader_1x15_P2.54mm_Vertical,1,Conn_01x15_Pin,C7501269
J7,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Pin,C2840012
J8,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,C42431798
L1,IND_PA4332.222NLT,1,2.2 uH,C3222957
"R1, R3, R5",0805,3,10k,C84376
R11,0805,1,100k,C96346
R12,0805,1,562kΩ,C2849274
R13,0805,1,180kΩ,C17501
"R2, R4",0805,2,"4,7k",C17673
R20,0805,1,150,C17471
R21,0805,1,330,C17630
"R6, R7",0805,2,5.1k,C2930296
"R8, R9",0805,2,22,C107702
SW2,KH-6X6X5H-STM_SKE,1,EN,C2837531 
SW3,SLW-66527511-SMT-TR_CUD,1,SLW-66527511-SMT-TR,
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,PCAL6408ABS,C2652332
U2,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,C2913206 
U3,SOT-143,1,PRTR5V0U2X,C2827688
"U4, U6",DIP-16_W7.62mm,2,L293D,C12340 
U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62160DSG,C324077 
