Designator,Mid X,Mid Y,Rotation,Layer
C10,212.910888,-83.241213,270.0,top
C11,210.797216,-83.542208,270.0,top
C12,211.215263,-68.008477,180.0,top
C2,201.134716,-68.492457,90.0,top
C5,210.797216,-77.522307,90.0,top
C6,208.683544,-77.221312,90.0,top
C7,207.475731,-65.482506,270.0,top
C8,205.478153,-86.068178,0.0,top
C9,213.514794,-73.910367,90.0,top
D12,174.055028,-77.914458,180.0,top
D4,189.687352,-60.935746,90.0,top
F1,191.866356,-69.965442,0.0,top
J1,223.75,-107.5,0.0,top
J10,215.94,-51.5,90.0,top
J11,206.98,-51.5,90.0,top
J12,236.46,-105.1,0.0,top
J2,236.9725,-55.655,90.0,top
J3,236.9725,-67.155,90.0,top
J4,236.9725,-78.655,90.0,top
J5,236.9725,-90.155,90.0,top
J6,166.75,-69.42,0.0,top
J7,185.56,-51.5,90.0,top
J8,166.75,-94.23,0.0,top
L1,209.751591,-61.220566,0.0,top
R1,181.779716,-87.776138,270.0,top
R11,215.120653,-67.737482,0.0,top
R12,213.912841,-65.630516,0.0,top
R13,214.214794,-63.523551,0.0,top
R2,218.140184,-77.369322,0.0,top
R20,207.571825,-72.854397,0.0,top
R21,173.451122,-65.931511,0.0,top
R3,215.900419,-82.057233,90.0,top
R4,218.316044,-80.251263,90.0,top
R5,185.705106,-84.465193,90.0,top
R6,206.665966,-88.205143,0.0,top
R7,210.289403,-87.302158,180.0,top
R8,223.449247,-99.514944,90.0,top
R9,221.335575,-100.116934,90.0,top
SW2,182.57115,-77.283953,270.0,top
SW3,166.5034,-104.75,270.0,top
U1,214.060888,-77.956288,90.0,top
U2,194.95,-85.05,180.0,top
U3,203.868388,-68.352457,0.0,top
U4,224.99,-60.5,180.0,top
U5,210.257705,-65.330516,0.0,top
U6,224.99,-85.34,0.0,top
