Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,214.0862,-129.648019,0.0,top
C1,189.940937,-93.691769,90.0,top
C10,167.132779,-108.82712,90.0,top
C11,173.704621,-103.782003,90.0,top
C12,163.986989,-87.426222,0.0,top
C13,166.306463,-89.754738,0.0,top
C14,163.266989,-90.587081,270.0,top
C15,166.306463,-85.097706,0.0,top
C16,163.266989,-82.825363,90.0,top
C17,181.049621,-72.735128,90.0,top
C18,193.580411,-129.495675,0.0,top
C19,189.4012,-132.676534,270.0,top
C2,197.619358,-105.278175,0.0,top
C20,201.924884,-94.856027,90.0,top
C21,204.244358,-94.856027,90.0,top
C22,180.223305,-133.996534,180.0,top
C23,179.063568,-126.234816,180.0,top
C24,192.593832,-125.070558,0.0,top
C25,184.142253,-122.022042,90.0,top
C26,204.7912,-124.062472,0.0,top
C27,199.765674,-124.450558,180.0,top
C3,185.688568,-93.691769,90.0,top
C4,188.7812,-99.124972,90.0,top
C5,188.7812,-104.170089,90.0,top
C6,199.605411,-92.915597,90.0,top
C7,202.644884,-102.173488,0.0,top
C8,205.017516,-128.231417,90.0,top
C9,174.0912,-108.82712,90.0,top
D12,201.516982,-104.462086,0.0,top
D4,172.858305,-98.653859,180.0,top
D5,179.503832,-117.777784,270.0,top
F1,209.419884,-123.382472,90.0,top
J1,193.51,-147.15,0.0,top
J10,152.8275,-63.455,0.0,top
J11,156.2275,-111.945,270.0,top
J12,156.2275,-123.395,270.0,top
J2,156.205,-88.9,270.0,top
J3,158.2525,-144.4475,0.0,top
J4,219.2,-90.76,90.0,top
J5,219.2225,-102.255,90.0,top
J6,219.2,-113.74,90.0,top
J8,222.55,-64.0,0.0,top
J9,156.205,-100.465,270.0,top
L1,193.442547,-115.306084,0.0,top
R1,180.976463,-147.997628,0.0,top
R10,191.457253,-139.505909,90.0,top
R11,193.776726,-139.505909,90.0,top
R12,171.741726,-108.84712,90.0,top
R13,169.422253,-108.84712,270.0,top
R14,165.126726,-142.564425,0.0,top
R15,213.878832,-75.47173,90.0,top
R16,216.928305,-75.037472,180.0,top
R17,180.203305,-131.698019,0.0,top
R18,202.668042,-131.356105,270.0,top
R19,196.053042,-132.474191,0.0,top
R2,181.363042,-145.669112,180.0,top
R20,207.263832,-95.606027,180.0,top
R21,166.7162,-100.697316,90.0,top
R22,206.104095,-104.532003,0.0,top
R23,207.693568,-101.473488,90.0,top
R24,176.767253,-108.84712,90.0,top
R25,183.295937,-105.308175,0.0,top
R3,204.600937,-141.834425,90.0,top
R4,207.650411,-141.400167,0.0,top
R5,181.019621,-80.904933,90.0,top
R6,202.281463,-76.635988,270.0,top
R7,203.011463,-80.470675,180.0,top
R8,214.608832,-83.187277,0.0,top
R9,181.019621,-76.635988,90.0,top
RST1,168.083305,-138.185909,180.0,top
SW1,205.054621,-119.969698,90.0,top
U1,195.270674,-98.779659,90.0,top
U2,207.956989,-128.479503,0.0,top
U3,181.786726,-109.379464,0.0,top
U4,181.539884,-95.866456,270.0,top
U5,186.227516,-126.843331,180.0,top
U6,191.8,-76.45,0.0,top
U7,173.342253,-84.981769,0.0,top
U8,162.904621,-68.682159,0.0,top
U9,170.939358,-114.648839,0.0,top
Y2,202.344884,-98.695257,90.0,top
