Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,16pF,C_0603_1608Metric,115.845,-68.32,0.0,top
C10,100 nF,C_0603_1608Metric,153.06,-70.97,90.0,top
C11,22 uF,C_0603_1608Metric,156.53,-70.985,90.0,top
C12,12 pF,C_0603_1608Metric,159.06,-71.575,-90.0,top
C13,47 pF,C_0603_1608Metric,159.83,-74.19,180.0,top
C14,100 nF,C_0603_1608Metric,120.195,-68.21,180.0,top
C15,100 nF,C_0603_1608Metric,165.015,-77.435,-90.0,top
C16,100 nF,C_0603_1608Metric,129.79,-68.1,0.0,top
C17,100 nF,C_0603_1608Metric,129.8,-69.69,0.0,top
C18,100 nF,C_0603_1608Metric,129.84,-71.94,0.0,top
C19,100 nF,C_0603_1608Metric,129.85,-73.48,0.0,top
C2,16pF,C_0603_1608Metric,117.72,-74.18,0.0,top
C20,100 nF,C_0603_1608Metric,151.08,-62.78,180.0,top
C21,100 nF,C_0603_1608Metric,139.79,-66.82,90.0,top
C3,47 uF,C_0603_1608Metric,124.33,-75.275,-90.0,top
C4,47 uF,C_0603_1608Metric,130.86,-75.0,180.0,top
C5,150pF,C_0603_1608Metric,135.4,-71.19,0.0,top
C6,47 uF,C_0603_1608Metric,121.71,-75.16,90.0,top
C7,15 pF,C_0603_1608Metric,138.35,-73.7,90.0,top
C8,5.6 pF,C_0603_1608Metric,150.79,-74.96,90.0,top
C9,10 pF,C_0603_1608Metric,155.51,-68.69,180.0,top
IC1,AT1846S,QFN50P500X500X100-33N-D,125.075,-69.9375,0.0,top
IC2,ASWD-S2-0005-T,ASWDS20005T,163.98,-74.84,-90.0,top
J1,GPIOx,PinHeader_1x08_P2.54mm_Vertical,126.08,-62.59,90.0,top
J2,CTRL,PinHeader_1x03_P2.54mm_Vertical,109.4,-85.2,0.0,top
J3,MODE,PinHeader_1x01_P2.54mm_Vertical,111.97,-73.05,0.0,top
J4,SPEAK,WJ500V-5.08-2P,116.88,-83.64,0.0,top
J5,PDN,PinHeader_1x01_P2.54mm_Vertical,138.62,-62.6,0.0,top
J6,MIC,PinHeader_1x01_P2.54mm_Vertical,124.36,-78.86,0.0,top
J7,5V,PinHeader_1x01_P2.54mm_Vertical,151.87,-66.55,0.0,top
J8,SW,PinHeader_1x01_P2.54mm_Vertical,164.64,-70.84,0.0,top
J9,FM-ANT,BAT_WIRELESS_BWSMA-KE-Z001,170.86,-74.84,0.0,top
JP1,mode_manual,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,111.29,-76.32,0.0,top
L1,2.7 nH,L_0805_2012Metric,139.4,-71.19,0.0,top
L2,6.8 nH,L_0805_2012Metric,155.79,-74.19,0.0,top
L3,22 nH,L_0805_2012Metric,154.73,-71.2625,90.0,top
MK1,CMC-9745-44P,CMC974544P,133.06,-79.7,90.0,top
R1,2.2k,R_0603_1608Metric,125.98,-75.265,-90.0,top
R2,10k,R_0603_1608Metric,137.44,-65.21,0.0,top
R3,0,R_0603_1608Metric,114.52,-76.41,-90.0,top
R4,0,R_0603_1608Metric,117.3,-76.405,-90.0,top
S1,SSSS811101,SSSS811101,111.235,-65.55,90.0,top
U1,YG401530VB,SOT-89-3,145.21,-72.69,180.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,144.99,-65.0825,0.0,top
Y1,12.8 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,117.46,-71.26,90.0,top
