Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",0603,3,10uF,C19702
"C2, C22, C5, C6, C8, C9",0603,6,100nF,C14663
C24,1206,1,47uF,C96123
F1,1206,1,500 mA,C135341
"IC1, IC2",W25N512GVEIG,2,W25N512GVEIG,C3024446
J1,PinHeader_1x01_P2.54mm_Vertical,1,5V,C492400
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J3,PinHeader_1x01_P2.54mm_Vertical,1,3.3V,C492400
J5,PinHeader_1x01_P2.54mm_Vertical,1,GND,C492400
"R1, R10, R2, R3, R4, R5",0603,6,10k Ohm,C98220
"R6, R7",0603,2,5.1k,C23186
"R8, R9",0603,2,22,C23345
S1,SSSS811101,1,SSSS811101,C109335
SW2,KH-6X6X5H-STM_SKE,1,EN,C2837531 
U1,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,
U2,TO-252-2,1,AZ1117-3.3,
U4,SOT-143,1,PRTR5V0U2X,C2827688
