Designator,Mid X,Mid Y,Rotation,Layer
C1,186.340654,-79.407863,90.0,top
C2,189.88015,-76.443019,90.0,top
C22,171.396116,-89.290675,270.0,top
C24,189.680402,-79.34255,0.0,top
C3,191.023427,-109.608644,0.0,top
C4,183.391074,-106.882081,90.0,top
C5,188.110402,-76.443019,90.0,top
C6,188.110402,-73.280519,90.0,top
C8,190.63015,-74.030519,0.0,top
C9,186.340654,-73.478175,90.0,top
F1,173.732671,-92.407863,180.0,top
IC1,175.487755,-109.015206,0.0,top
IC2,173.966116,-74.879269,90.0,top
J1,190.526872,-114.300675,90.0,top
J2,181.7,-117.9,0.0,top
J3,184.037797,-110.545206,270.0,top
J5,174.402503,-117.067863,90.0,top
R1,174.50578,-97.946925,0.0,top
R10,174.50578,-80.553175,180.0,top
R2,181.228049,-107.079738,270.0,top
R3,171.789393,-103.917238,270.0,top
R4,171.986032,-81.186769,90.0,top
R5,175.13225,-95.220363,90.0,top
R6,191.059982,-117.753175,270.0,top
R7,188.663763,-117.119581,0.0,top
R8,174.358697,-85.379109,270.0,top
R9,172.726297,-85.379109,270.0,top
S1,181.531746,-75.540206,90.0,top
SW2,178.403071,-102.146038,0.0,top
U1,184.121998,-89.145675,270.0,top
U2,188.040822,-102.169738,90.0,top
U4,174.275864,-89.368331,270.0,top
