Comment,Designator,Footprint,LCSC,Quantity
1 uF,C21,C_0603_1608Metric,C15849,1
1 uF,C42,C_0603_1608Metric,C19702,1
100nF,"C22,C23,C34,C35,C41,C6",C_0603_1608Metric,C14663,6
10k Ohm,"R10,R11,R5",R_0603_1608Metric,C25804,3
10uF,"C3,C38,C39,C40,C5,C7,C9",C_0603_1608Metric,C19702,7
12 pF,"C11,C12,C46",C_0603_1608Metric,C38523,3
18 nH,"L17,L18",L_0805_2012Metric,C341795,2
22,"R8,R9",R_0603_1608Metric,C23345,2
220 pF,"C44,C47",C_0603_1608Metric,C1603,2
220pF,"C27,C28,C29,C30",C_0603_1608Metric,C1603,4
26MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C15192,1
3.3 pF,"C36,C37",C_0603_1608Metric,C1660,2
3.3 uF,"C31,C4",CP_Elec_6.3x5.4,C87855,2
3.3uF,C10,C_0603_1608Metric,C51412,1
33 nH,"L16,L19",L_0805_2012Metric,C341796,2
4.7k,"R14,R2,R3",R_0603_1608Metric,C23162,3
470 Ohm,"R12,R13",R_0603_1608Metric,C23179,2
47uF,"C25,C26,C32,C33",C_1206_3216Metric,C96123,4
5.1k,"R6,R7",R_0603_1608Metric,C23186,2
500 mA,F1,Fuse_1206_3216Metric,C135341,1
56k,Rbias1,R_0603_1608Metric,C23206,1
6.8 pF,"C43,C45",C_0603_1608Metric,C1679,2
680 uF,C8,CP_Elec_8x10.5,C970708,1
ANT,J10,SMA_BAT_Wireless_BWSMA-KWE-Z001,C496551,1
AudioJack3,J4,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,C4992459,1
CS4344,U2,TSSOP-10_3x3mm_P0.5mm,C8952,1
Conn_01x04_Pin,J8,PinSocket_1x04_P2.54mm_Vertical,C5116483,1
DEBG,J9,PinSocket_1x04_P2.54mm_Vertical,C5116483,1
EN,"SW1,SW10,SW100,SW11,SW12,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW99",KH-6X6X5H-STM_SKE,C2837531,14
ESP32-S3-MINI-1U,U1,ESP32-S2-MINI-1U,C2980299,1
ICS-43434,MK1,InvenSense_ICS-43434-6_3.5x2.65mm,C5656610,1
L_OUT,J1,WJ500V-5.08-2P,C8465,1
MIC5504-3.3YM5,U5,SOT-23-5,C88419,1
PAM8406D,U6,SOIC-16_3.9x9.9mm_P1.27mm,C86270,1
PCF8574AT,U11,SOIC-16W_7.5x10.3mm_P1.27mm,C2987289,1
PRTR5V0U2X,U4,SOT-143,C2827688,1
R_OUT,J3,WJ500V-5.08-2P,C8465,1
SSSS811101,S1,SSSS811101,C109335,1
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
WS2812B-B,"U10,U7,U8,U9",LED_WS2812B-B,C2761795,4
