Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,3.3uF,C_0603_1608Metric,232.115115,-78.674757,180.0,top
C11,12 pF,C_0603_1608Metric,237.554262,-58.437452,-90.0,top
C12,12 pF,C_0603_1608Metric,233.662402,-65.42339,0.0,top
C21,1 uF,C_0603_1608Metric,212.797673,-61.945167,90.0,top
C22,100nF,C_0603_1608Metric,220.920929,-87.668409,-90.0,top
C23,100nF,C_0603_1608Metric,222.444572,-60.746437,0.0,top
C25,47uF,C_1206_3216Metric,205.481239,-95.81257,-90.0,top
C26,47uF,C_1206_3216Metric,219.40682,-59.176437,90.0,top
C27,220pF,C_0603_1608Metric,226.312789,-63.084913,180.0,top
C28,220pF,C_0603_1608Metric,221.30775,-70.909327,-90.0,top
C29,220pF,C_0603_1608Metric,226.312789,-65.033644,180.0,top
C3,10uF,C_0603_1608Metric,207.768991,-94.683839,-90.0,top
C30,220pF,C_0603_1608Metric,226.312789,-67.761866,0.0,top
C31,3.3 uF,CP_Elec_6.3x5.4,239.213797,-86.29714,90.0,top
C32,47uF,C_1206_3216Metric,236.803332,-68.121359,180.0,top
C33,47uF,C_1206_3216Metric,242.992479,-78.644503,0.0,top
C34,100nF,C_0603_1608Metric,241.422479,-75.58628,90.0,top
C35,100nF,C_0603_1608Metric,235.233332,-75.58628,90.0,top
C36,3.3 pF,C_0603_1608Metric,247.998448,-86.109425,-90.0,top
C37,3.3 pF,C_0603_1608Metric,237.16744,-70.909327,-90.0,top
C38,10uF,C_0603_1608Metric,247.611626,-117.289113,-90.0,top
C39,10uF,C_0603_1608Metric,241.012014,-62.695167,180.0,top
C4,3.3 uF,CP_Elec_6.3x5.4,231.864184,-84.738155,90.0,top
C40,10uF,C_0603_1608Metric,245.290696,-117.289113,-90.0,top
C41,100nF,C_0603_1608Metric,244.493409,-62.695167,0.0,top
C42,1 uF,C_0603_1608Metric,246.81434,-65.033644,180.0,top
C43,6.8 pF,C_0603_1608Metric,240.262014,-70.519581,90.0,top
C44,220 pF,C_0603_1608Metric,235.233332,-58.437452,-90.0,top
C45,6.8 pF,C_0603_1608Metric,233.299223,-58.437452,-90.0,top
C46,12 pF,C_0603_1608Metric,229.431006,-63.504152,-90.0,top
C47,220 pF,C_0603_1608Metric,225.175967,-60.386183,90.0,top
C5,10uF,C_0603_1608Metric,217.052712,-59.996437,90.0,top
C6,100nF,C_0603_1608Metric,215.118603,-59.996437,90.0,top
C7,10uF,C_0603_1608Metric,239.488371,-75.58628,90.0,top
C8,680 uF,CP_Elec_8x10.5,207.386665,-66.330343,0.0,top
C9,10uF,C_0603_1608Metric,242.172479,-81.013234,0.0,top
F1,500 mA,Fuse_1206_3216Metric,220.149998,-90.746632,0.0,top
J1,L_OUT,WJ500V-5.08-2P,244.36,-56.24,180.0,top
J10,ANT,SMA_BAT_Wireless_BWSMA-KWE-Z001,225.32,-54.59,0.0,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,225.46,-145.94,180.0,top
J3,R_OUT,WJ500V-5.08-2P,205.54,-56.22,180.0,top
J4,AudioJack3,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,235.75,-144.5,180.0,top
J8,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,215.326743,-98.2913,90.0,top
J9,DEBG,PinSocket_1x04_P2.54mm_Vertical,203.393487,-104.224952,180.0,top
L16,33 nH,L_0805_2012Metric,234.96651,-55.049484,90.0,top
L17,18 nH,L_0805_2012Metric,235.86651,-61.016183,180.0,top
L18,18 nH,L_0805_2012Metric,231.998293,-61.016183,180.0,top
L19,33 nH,L_0805_2012Metric,228.130076,-61.016183,180.0,top
MK1,ICS-43434,InvenSense_ICS-43434-6_3.5x2.65mm,227.960076,-71.091767,180.0,top
R10,10k Ohm,R_0603_1608Metric,227.110076,-81.432472,90.0,top
R11,10k Ohm,R_0603_1608Metric,238.304262,-92.31587,0.0,top
R12,470 Ohm,R_0603_1608Metric,237.16744,-74.027296,90.0,top
R13,470 Ohm,R_0603_1608Metric,245.267053,-85.690187,0.0,top
R14,4.7k,R_0603_1608Metric,208.542634,-98.971046,90.0,top
R2,4.7k,R_0603_1608Metric,206.995347,-108.714698,-90.0,top
R3,4.7k,R_0603_1608Metric,206.221704,-99.750538,90.0,top
R5,10k Ohm,R_0603_1608Metric,207.358526,-75.556788,180.0,top
R6,5.1k,R_0603_1608Metric,203.103487,-111.413429,0.0,top
R7,5.1k,R_0603_1608Metric,206.584882,-111.413429,0.0,top
R8,22,R_0603_1608Metric,221.095064,-80.29366,-90.0,top
R9,22,R_0603_1608Metric,219.381064,-80.29366,-90.0,top
Rbias1,56k,R_0603_1608Metric,233.299223,-67.791359,90.0,top
S1,SSSS811101,SSSS811101,204.826665,-117.516573,90.0,top
SW1,EN,KH-6X6X5H-STM_SKE,214.350001,-105.000001,0.0,top
SW10,EN,KH-6X6X5H-STM_SKE,214.400001,-126.15,0.0,top
SW100,EN,KH-6X6X5H-STM_SKE,236.65,-133.1,0.0,bottom
SW11,EN,KH-6X6X5H-STM_SKE,225.350002,-126.149999,0.0,top
SW12,EN,KH-6X6X5H-STM_SKE,236.600001,-126.2,0.0,top
SW2,EN,KH-6X6X5H-STM_SKE,225.500002,-104.999999,0.0,top
SW3,EN,KH-6X6X5H-STM_SKE,236.650002,-105.050001,0.0,top
SW4,EN,KH-6X6X5H-STM_SKE,214.4,-112.000001,0.0,top
SW5,EN,KH-6X6X5H-STM_SKE,225.350002,-112.000001,0.0,top
SW6,EN,KH-6X6X5H-STM_SKE,236.6,-112.000001,0.0,top
SW7,EN,KH-6X6X5H-STM_SKE,214.400001,-119.049999,0.0,top
SW8,EN,KH-6X6X5H-STM_SKE,225.350002,-119.050001,0.0,top
SW9,EN,KH-6X6X5H-STM_SKE,236.600001,-119.0,0.0,top
SW99,EN,KH-6X6X5H-STM_SKE,214.350001,-133.0,0.0,bottom
U1,ESP32-S3-MINI-1U,ESP32-S2-MINI-1U,209.573487,-84.73487,90.0,top
U10,WS2812B-B,LED_WS2812B-B,205.0,-146.05,0.0,top
U11,PCF8574AT,SOIC-16W_7.5x10.3mm_P1.27mm,230.375967,-95.440792,270.0,top
U2,CS4344,TSSOP-10_3x3mm_P0.5mm,237.24651,-79.213741,270.0,top
U4,PRTR5V0U2X,SOT-143,219.569998,-84.430441,90.0,top
U5,MIC5504-3.3YM5,SOT-23-5,246.223874,-113.811144,90.0,top
U6,PAM8406D,SOIC-16_3.9x9.9mm_P1.27mm,219.201781,-65.571359,180.0,top
U7,WS2812B-B,LED_WS2812B-B,212.8975,-146.05,0.0,top
U8,WS2812B-B,LED_WS2812B-B,212.8975,-139.5,0.0,top
U9,WS2812B-B,LED_WS2812B-B,205.0,-139.5,0.0,top
Y1,26MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,237.425,-64.475,90.0,top
