Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C38, C40, C5, C7, C9",0603,7,10uF,C19702
C10,0603,1,3.3uF,C51412
C11,0603,1,20 pF,C1648 
C12,0603,1,20 pF,C1648
C13,0603,1,150pF,C1594
C14,0603,1,3.9 pF,C519107
"C15, C16",0603,2,6.8 pF,C1679
"C17, C18",0603,2,2.2 pF,C1651
"C19, C20",0603,2,8.2 pF,C1685
"C2, C22, C23, C34, C35, C6",0603,6,100nF,C14663
C21,0603,1,1 uF,C15849
"C24, C25, C26, C33",1206,4,47uF,C96123
"C27, C28, C29, C30",0603,4,220pF,C1603
"C31, C4",CP_Elec_6.3x5.4,2,3.3 uF,C87855
"C36, C37",0603,2,3.3 pF,C107050
C8,CP_Elec_8x10.5,1,680 uF,C970708
F1,1206,1,500 mA,C135341
J1,WJ500V-5.08-2P,1,L_OUT,C8465
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J3,WJ500V-5.08-2P,1,R_OUT,C8465
J4,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,AudioJack3,C4992459
J6,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,TX,C496551
J7,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,RX,C496551
J8,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C5116483
J9,PinSocket_1x04_P2.54mm_Vertical,1,DEBG,C5116483
L10,0805,1,24 nH,C1331755
L11,0805,1,3.3 nH,C18221260
L12,0805,1,4.7 nH,C317993
L13,0805,1,27 nH,C98992
L14,0805,1,2.2 nH,C964055
"L15, L8",0805,2,220 nH,C2041935
L9,0805,1,51 nH,C2042178
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,C5656610
"R10, R11, R5",0603,3,10k Ohm,C25804
"R12, R13",0603,2,470 Ohm,C23179
"R14, R2, R3",0603,3,4.7k,C23162
R15,0805,1,33 ohm,C17634
R4,0805,1,0 ohm,C17477 
"R6, R7",0603,2,5.1k,C23186
"R8, R9",0603,2,22,C23345
S1,SSSS811101,1,SSSS811101,C109335
"SW1, SW10, SW100, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW99",KH-6X6X5H-STM_SKE,14,EN,C2837531 
U1,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,C2980299
"U10, U7, U8, U9",LED_WS2812B-B,4,WS2812B-B,C2761795
U11,SOIC-16W_7.5x10.3mm_P1.27mm,1,PCF8574AT,C2987289
U12,PG-SOT343-4-2_INF,1,BGA616H6327XTSA1,C3191605
U2,TSSOP-10_3x3mm_P0.5mm,1,CS4344,C8952
U3,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,1,Si4463,C476202
U4,SOT-143,1,PRTR5V0U2X,C2827688
U5,SOT-23-5,1,MIC5504-3.3YM5,C88419
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,PAM8406D,C86270
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,30 Mhz,C29538
