Designator,Mid X,Mid Y,Rotation,Layer
C1,214.0312,-62.308644,180.0,top
C10,234.332762,-86.508644,270.0,top
C11,210.91245,-67.766456,0.0,top
C12,210.91245,-69.715675,0.0,top
C13,219.489012,-71.27505,0.0,top
C14,221.467919,-60.389113,90.0,top
C15,223.027294,-75.203175,90.0,top
C16,225.0,-78.35,90.0,top
C17,224.976512,-75.203175,90.0,top
C18,223.38745,-72.834425,0.0,top
C19,243.269481,-135.209425,0.0,top
C2,219.489012,-68.546144,0.0,top
C20,203.145262,-70.135206,90.0,top
C21,219.489012,-64.257863,180.0,top
C22,224.556981,-91.157081,0.0,top
C23,225.366356,-60.389113,90.0,top
C24,217.96995,-61.888644,0.0,top
C25,206.294169,-101.672238,270.0,top
C26,227.345731,-72.433956,270.0,top
C27,231.214013,-60.389113,270.0,top
C28,229.654637,-71.304738,270.0,top
C29,229.264794,-60.389113,270.0,top
C3,209.353075,-100.123488,0.0,top
C30,232.383544,-70.135206,270.0,top
C31,243.780106,-77.730831,90.0,top
C33,242.140262,-84.109738,0.0,top
C34,236.671825,-86.508644,270.0,top
C35,231.574169,-83.75005,180.0,top
C36,245.638231,-86.898488,270.0,top
C37,228.455419,-78.682081,0.0,top
C38,247.977294,-100.543019,270.0,top
C4,234.894169,-77.421456,180.0,top
C40,246.028075,-100.543019,270.0,top
C5,223.417138,-60.389113,90.0,top
C6,227.315575,-60.389113,90.0,top
C7,240.570262,-86.898488,270.0,top
C8,238.193387,-65.945675,180.0,top
C9,238.621044,-86.508644,270.0,top
F1,221.848387,-93.485988,0.0,top
J1,239.95,-56.15,180.0,top
J2,225.46,-147.4,0.0,top
J3,209.95,-56.15,180.0,top
J4,235.75,-144.5,180.0,top
J6,220.45,-54.425,0.0,top
J7,229.45,-54.45,0.0,top
J8,217.54,-79.9,270.0,top
J9,247.695,-125.205,0.0,top
L10,218.979325,-75.053488,0.0,top
L11,214.3012,-73.494113,180.0,top
L12,245.758231,-134.189425,270.0,top
L13,207.943387,-63.237863,270.0,top
L14,204.165262,-67.646456,0.0,top
L15,209.892606,-63.237863,90.0,top
L8,219.759012,-73.104269,0.0,top
L9,222.877763,-70.765206,0.0,top
MK1,203.605419,-118.607217,180.0,top
R10,231.574169,-85.699269,0.0,top
R11,243.269481,-86.478956,180.0,top
R12,230.044481,-81.050831,90.0,top
R13,246.388231,-84.529738,180.0,top
R14,217.14995,-100.123488,0.0,top
R15,245.468387,-113.98755,270.0,top
R2,206.624169,-112.208644,0.0,top
R3,212.471825,-100.123488,0.0,top
R4,202.925731,-100.293331,0.0,top
R5,208.15,-80.625,90.0,top
R6,246.778075,-110.259425,180.0,top
R7,246.807763,-107.560206,270.0,top
R8,222.281209,-86.149422,270.0,top
R9,220.648809,-86.149422,270.0,top
S1,205.225575,-130.399581,90.0,top
SW1,214.350001,-105.000001,0.0,top
SW10,214.400001,-126.15,0.0,top
SW100,236.65,-133.1,0.0,bottom
SW11,225.350002,-126.149999,0.0,top
SW12,236.600001,-126.2,0.0,top
SW2,225.500002,-104.999999,0.0,top
SW3,236.650002,-105.050001,0.0,top
SW4,214.4,-112.000001,0.0,top
SW5,225.350002,-112.000001,0.0,top
SW6,236.6,-112.000001,0.0,top
SW7,214.400001,-119.049999,0.0,top
SW8,225.350002,-119.050001,0.0,top
SW9,236.600001,-119.0,0.0,top
SW99,214.350001,-133.0,0.0,bottom
U1,210.755106,-90.593269,90.0,top
U10,205.0,-146.05,0.0,top
U11,235.244481,-95.063644,270.0,top
U12,203.774163,-64.832738,180.0,top
U2,236.342919,-83.119894,270.0,top
U3,215.1512,-65.896456,270.0,top
U4,220.878544,-90.287081,90.0,top
U5,246.958231,-97.064269,0.0,top
U6,226.327762,-65.965988,180.0,top
U7,212.8975,-146.05,0.0,top
U8,212.8975,-139.5,0.0,top
U9,205.0,-139.5,0.0,top
Y2,214.6512,-70.644894,180.0,top
