Comment,Designator,Footprint,LCSC,Quantity
1 nF,CM8,C_0603_1608Metric,C1588,1
1.2 pF,"CC1,CR2",C_0603_1608Metric,C1638,2
10 pF,C9,C_0603_1608Metric,C1634,1
100 nF,CM3,C_0603_1608Metric,C14663,1
100 pF,CM7,C_0603_1608Metric,C14858,1
12 nH,"L1,L3",L_0805_2012Metric,C1039,2
120 nH,LC1,L_0805_2012Metric,C46435,1
18 nH,LR1,L_0805_2012Metric,C107473,1
18 pF,"C1,C2",C_0603_1608Metric,C1647,2
2.2 uF,CM9,C_0603_1608Metric,C23630,1
24 nH,"L2,LR2",L_0805_2012Metric,C395099,2
3 pF,CR1,C_0603_1608Metric,C46219,1
3.3 nH,L0,L_0805_2012Metric,C98538,1
3.3 pF,"CM1,CM2",C_0603_1608Metric,C1660,2
30MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C29538,1
4.7 uF,CM4,C_0603_1608Metric,C19666,1
5.1 pF,C0,C_0603_1608Metric,C61816,1
6.8 nH,CM5,L_0805_2012Metric,C2042975,1
68 nH,CM6,L_0805_2012Metric,C62554,1
CTRL,J1,PinHeader_1x06_P2.54mm_Vertical,C32713272,1
GPIOx,J2,PinHeader_1x04_P2.54mm_Vertical,C32713270,1
PWR3,J6,WJ500V-5.08-2P,C8465,1
PWR5,J7,WJ500V-5.08-2P,C8465,1
RX,J4,SMA_BAT_Wireless_BWSMA-KWE-Z001,C496551,1
Si4463,U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,C476202,1
TX,J3,SMA_BAT_Wireless_BWSMA-KWE-Z001,C496551,1
TXRAMP,J5,PinHeader_1x01_P2.54mm_Vertical,C42431799,1
YG401530VB,U2,SOT-89-3,C52043258,1
