Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,5.1 pF,C_0603_1608Metric,208.011927,-90.146089,90.0,top
C1,18 pF,C_0603_1608Metric,223.764427,-87.863668,0.0,top
C2,18 pF,C_0603_1608Metric,217.622903,-84.781037,-90.0,top
C9,10 pF,C_0603_1608Metric,212.465794,-88.046721,-90.0,top
CC1,1.2 pF,C_0603_1608Metric,203.370403,-84.831247,0.0,top
CM1,3.3 pF,C_0603_1608Metric,212.512552,-94.861563,180.0,top
CM2,3.3 pF,C_0603_1608Metric,212.512552,-97.427458,180.0,top
CM3,100 nF,C_0603_1608Metric,218.326145,-93.8783,-90.0,top
CM4,4.7 uF,C_0603_1608Metric,216.450833,-93.411774,90.0,top
CM5,6.8 nH,L_0805_2012Metric,207.897513,-86.610405,-90.0,top
CM6,68 nH,L_0805_2012Metric,199.458606,-90.809142,90.0,top
CM7,100 pF,C_0603_1608Metric,199.57302,-87.113668,-90.0,top
CM8,1 nF,C_0603_1608Metric,196.806809,-89.729774,0.0,top
CM9,2.2 uF,C_0603_1608Metric,202.198333,-89.729774,180.0,top
CR1,3 pF,C_0603_1608Metric,200.088606,-80.865774,0.0,top
CR2,1.2 pF,C_0603_1608Metric,206.839856,-81.282089,-90.0,top
J1,CTRL,PinHeader_1x06_P2.54mm_Vertical,229.36,-98.14,90.0,top
J2,GPIOx,PinHeader_1x04_P2.54mm_Vertical,231.91,-79.56,90.0,top
J3,TX,SMA_BAT_Wireless_BWSMA-KWE-Z001,193.96,-95.79,90.0,top
J4,RX,SMA_BAT_Wireless_BWSMA-KWE-Z001,194.07,-81.9,90.0,top
J5,TXRAMP,PinHeader_1x01_P2.54mm_Vertical,219.38,-98.15,0.0,top
J6,PWR3,WJ500V-5.08-2P,244.17,-94.41,90.0,top
J7,PWR5,WJ500V-5.08-2P,244.13,-83.29,90.0,top
L0,3.3 nH,L_0805_2012Metric,209.031927,-92.875458,0.0,top
L1,12 nH,L_0805_2012Metric,208.797513,-94.974826,0.0,top
L2,24 nH,L_0805_2012Metric,208.797513,-97.540721,180.0,top
L3,12 nH,L_0805_2012Metric,205.787786,-94.308089,-90.0,top
LC1,120 nH,L_0805_2012Metric,212.35138,-91.742195,-90.0,top
LR1,18 nH,L_0805_2012Metric,202.740403,-81.945142,90.0,top
LR2,24 nH,L_0805_2012Metric,210.476067,-80.545563,90.0,top
U1,Si4463,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,219.385,-89.335,270.0,top
U2,YG401530VB,SOT-89-3,202.046263,-95.607458,90.0,top
Y1,30MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,220.99,-84.83,180.0,top
