pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
208.011927,-90.146089,90.0,top,C0,,,C_0603_1608Metric,5.1 pF,smt
223.764427,-87.863668,0.0,top,C1,,,C_0603_1608Metric,18 pF,smt
217.622903,-84.781037,-90.0,top,C2,,,C_0603_1608Metric,18 pF,smt
212.465794,-88.046721,-90.0,top,C9,,,C_0603_1608Metric,10 pF,smt
203.370403,-84.831247,0.0,top,CC1,,,C_0603_1608Metric,1.2 pF,smt
212.512552,-94.861563,180.0,top,CM1,,,C_0603_1608Metric,3.3 pF,smt
212.512552,-97.427458,180.0,top,CM2,,,C_0603_1608Metric,3.3 pF,smt
218.326145,-93.8783,-90.0,top,CM3,,,C_0603_1608Metric,100 nF,smt
216.450833,-93.411774,90.0,top,CM4,,,C_0603_1608Metric,4.7 uF,smt
207.897513,-86.610405,-90.0,top,CM5,,,L_0805_2012Metric,6.8 nH,smt
199.458606,-90.809142,90.0,top,CM6,,,L_0805_2012Metric,68 nH,smt
199.57302,-87.113668,-90.0,top,CM7,,,C_0603_1608Metric,100 pF,smt
201.2,-87.1,-90.0,top,CM8,,,C_0603_1608Metric,1 nF,smt
202.198333,-89.729774,180.0,top,CM9,,,C_0603_1608Metric,2.2 uF,smt
200.088606,-80.865774,0.0,top,CR1,,,C_0603_1608Metric,3 pF,smt
206.839856,-81.282089,-90.0,top,CR2,,,C_0603_1608Metric,1.2 pF,smt
223.01,-98.14,90.0,top,J1,,,PinHeader_1x06_P2.54mm_Vertical,CTRL,tht
228.1,-79.56,90.0,top,J2,,,PinHeader_1x04_P2.54mm_Vertical,GPIOx,tht
193.96,-95.79,90.0,top,J3,,,SMA_BAT_Wireless_BWSMA-KWE-Z001,TX_A,tht
194.0,-76.7,90.0,top,J4,,,SMA_BAT_Wireless_BWSMA-KWE-Z001,RX,tht
219.38,-98.15,0.0,top,J5,,,PinHeader_1x01_P2.54mm_Vertical,TXRAMP,tht
244.67,-94.41,90.0,top,J6,,,WJ500V-5.08-2P,PWR3,tht
244.63,-83.29,90.0,top,J7,,,WJ500V-5.08-2P,PWR5,tht
194.0,-86.0,90.0,top,J8,,,SMA_BAT_Wireless_BWSMA-KWE-Z001,TX_PA,tht
209.031927,-92.875458,0.0,top,L0,,,L_0805_2012Metric,3.3 nH,smt
208.797513,-94.974826,0.0,top,L1,,,L_0805_2012Metric,12 nH,smt
208.797513,-97.540721,180.0,top,L2,,,L_0805_2012Metric,24 nH,smt
205.787786,-94.308089,-90.0,top,L3,,,L_0805_2012Metric,12 nH,smt
212.35138,-91.742195,-90.0,top,LC1,,,L_0805_2012Metric,120 nH,smt
202.740403,-81.945142,90.0,top,LR1,,,L_0805_2012Metric,18 nH,smt
210.476067,-80.545563,90.0,top,LR2,,,L_0805_2012Metric,24 nH,smt
219.385,-89.335,0.0,top,U1,,,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,Si4463,smt
202.046263,-95.907458,-90.0,top,U2,,,SOT-89-3,YG401530VB,smt
220.99,-84.83,180.0,top,Y1,,,Crystal_SMD_3225-4Pin_3.2x2.5mm,30MHz,smt
