Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
C0,1,5.1 pF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
"C1, C2",2,18 pF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
C9,1,10 pF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
"CC1, CR2",2,1.2 pF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
"CM1, CM2",2,3.3 pF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
CM3,1,100 nF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
CM4,1,4.7 uF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
CM5,1,6.8 nH,L_0805_2012Metric,,,,smt,Inductor
CM6,1,68 nH,L_0805_2012Metric,,,,smt,Inductor
CM7,1,100 pF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
CM8,1,1 nF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
CM9,1,2.2 uF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
CR1,1,3 pF,C_0603_1608Metric,,,,smt,"Unpolarized capacitor, small symbol"
J1,1,CTRL,PinHeader_1x06_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x06, script generated"
J2,1,GPIOx,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated"
J3,1,TX_A,SMA_BAT_Wireless_BWSMA-KWE-Z001,,,,tht,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
J4,1,RX,SMA_BAT_Wireless_BWSMA-KWE-Z001,,,,tht,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
J5,1,TXRAMP,PinHeader_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated"
J6,1,PWR3,WJ500V-5.08-2P,,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J7,1,PWR5,WJ500V-5.08-2P,,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J8,1,TX_PA,SMA_BAT_Wireless_BWSMA-KWE-Z001,,,,tht,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
L0,1,3.3 nH,L_0805_2012Metric,,,,smt,Inductor
"L1, L3",2,12 nH,L_0805_2012Metric,,,,smt,Inductor
"L2, LR2",2,24 nH,L_0805_2012Metric,,,,smt,Inductor
LC1,1,120 nH,L_0805_2012Metric,,,,smt,Inductor
LR1,1,18 nH,L_0805_2012Metric,,,,smt,Inductor
U1,1,Si4463,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,,,,smt,"High-Performance, Low-Current Sub-GHz Transceiver, +20dBm, Major bands 142-1050 MHz, QFN-20"
U2,1,YG401530VB,SOT-89-3,,,,smt,"DC-8000MHz +11.8dB Gain Block, SOT-89"
Y1,1,30MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,smt,"Four pin crystal, GND on pins 2 and 4"
