Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C16, C18, C20, C22, C23, C25, C26, C5, C7, C9",0603,13,100 nF,
"C10, C12, C14, C17, C19, C2, C21, C24, C3, C4, C6, C8",0603,12,10 uF,
"C15, C59",0805,2,12 pF,C107108
"C79, C80",0805,2,100 nF,C49678
J1,DSUB-15-HD_Pins_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DE15_Pins_HighDensity,
J2,PinHeader_1x09_P2.54mm_Vertical,1,Bank 0,
J3,PinHeader_1x09_P2.54mm_Vertical,1,Bank 2,
J5,PinHeader_1x25_P2.54mm_Vertical,1,Bank 3,
J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J7,PinHeader_1x12_P2.54mm_Vertical,1,ESP-BANK-1,
"Q1, Q2",SOT-23,2,SS8050,
"R1, R2",0603,2,10k,
"R10, R14, R3",0603,3,3.3k,
"R11, R6, R7",0603,3,27k,
"R12, R5, R8",0603,3,13k,
"R13, R4, R9",0603,3,6.8k,
"R15, R16",0603,2,100,
"R17, R18",0805,2,5.1k,C27834
"R19, R20",0805,2,22,C17561
"R21, R22",0805,2,10k Ohm,
"R23, R25",0603,2,4.7k,C23162
R24,0805,1,0 ohm,C17477 
SS8050,SOT-23,1,NPN,
SW2,KH-6X6X5H-STM_SKE,1,EN,C2837531 
U1,TQFP-144_20x20mm_P0.5mm,1,ICE40HX1K-TQ144,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U3,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
U4,SOT-23-5,1,AP2112K-1.2,
U5,ESP32-WROOM-32D,1,ESP32-WROOM-32E-R2,
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
U7,TSOP-II-54_22.2x10.16mm_P0.8mm,1,IS42S16400J-xC,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHZ,C2901561
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,C19631429
