Designator,Mid X,Mid Y,Rotation,Layer
C1,72.164956,-136.5063,0.0,top
C10,104.580854,-72.643409,0.0,top
C11,97.5509,-116.916456,180.0,top
C12,97.5509,-118.875441,180.0,top
C13,106.475,-87.6,180.0,top
C14,105.425,-86.0,180.0,top
C15,99.35,-146.9,90.0,top
C16,63.182237,-72.643409,0.0,top
C17,67.899979,-70.326222,270.0,top
C18,65.947214,-70.326222,270.0,top
C19,70.243297,-70.326222,270.0,top
C2,60.85,-139.0,270.0,top
C20,94.25,-94.05,90.0,top
C21,92.65,-94.05,90.0,top
C22,72.946062,-68.333644,0.0,top
C23,63.182237,-81.262941,0.0,top
C24,63.182237,-74.602394,0.0,top
C25,70.243297,-67.191847,270.0,top
C26,63.155,-93.955,0.0,top
C3,63.35,-130.85,90.0,top
C4,68.290532,-127.528566,90.0,top
C5,79.976016,-69.509034,0.0,top
C59,96.208688,-146.834816,180.0,top
C6,80.397675,-66.80005,270.0,top
C7,92.895371,-67.191847,90.0,top
C79,91.522053,-138.215284,0.0,top
C8,90.942606,-67.191847,90.0,top
C80,118.860762,-128.028566,180.0,top
C9,103.799748,-70.684425,0.0,top
J1,87.785,-54.95,180.0,top
J2,119.04,-112.85,90.0,top
J3,118.25,-51.85,270.0,top
J5,132.95,-82.18,180.0,top
J6,83.33,-147.9,0.0,top
J7,52.4,-131.37,0.0,top
Q1,116.747444,-124.174191,0.0,top
Q2,83.55044,-66.971847,180.0,top
R1,108.15,-69.95,90.0,top
R10,102.237536,-63.240284,0.0,top
R11,88.177629,-66.766456,0.0,top
R12,81.928781,-60.889503,180.0,top
R13,81.959887,-63.273878,90.0,top
R14,89.380394,-64.057472,270.0,top
R15,89.349288,-60.497706,180.0,top
R16,97.191453,-66.408253,270.0,top
R17,82.05,-137.8125,270.0,top
R18,86.45,-137.7625,90.0,top
R19,90.5375,-142.55,0.0,top
R2,86.224864,-61.2813,0.0,top
R20,90.5625,-140.55,0.0,top
R21,105.613066,-128.895753,90.0,top
R22,111.861914,-124.585988,90.0,top
R23,93.645371,-127.103175,0.0,top
R24,115.716338,-120.614425,0.0,top
R25,83.10044,-127.494972,0.0,top
R3,94.457582,-61.314894,270.0,top
R4,87.00597,-64.023878,0.0,top
R5,97.941453,-62.848488,0.0,top
R6,100.284771,-67.55005,0.0,top
R7,92.114265,-62.490284,90.0,top
R8,94.848135,-66.80005,90.0,top
R9,100.284771,-65.591066,0.0,top
SS8050,96.048135,-131.226534,0.0,top
SW2,124.256849,-121.9691,270.0,top
U1,91.2375,-80.75,90.0,top
U2,90.95,-118.95,270.0,top
U3,66.1,-139.15,0.0,top
U4,66.25,-130.75,180.0,top
U5,119.01,-138.95,270.0,top
U6,97.6,-139.9,270.0,top
U7,71.586661,-83.562238,0.0,top
Y1,76.340486,-67.348574,90.0,top
Y3,92.0,-146.05,270.0,top
