Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,10 µF,
"C2, C4, C5",0805,3,0.1 µF,
C6,0805,1,10 nF,
C7,CP_Elec_6.3x5.4,1,220 uF,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",0805,14,LED,
J2,SolderWirePad_1x01_SMD_1x2mm,1,BAT+,
J3,SolderWirePad_1x01_SMD_1x2mm,1,BAT-,
Q1,SOT-23,1,AO3401A,
"R1, R10, R11, R12, R13, R14, R15, R2, R3, R4, R5, R6, R8, R9",0805,14,330,
R16,0805,1,100 k,
R17,0805,1,1 k,
R18,0805,1,4.7 k,
R7,0805,1,10 k,
RV1,Potentiometer_Bourns_3314J_Vertical,1,R_Potentiometer,
SW1,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,1,e_manuel,C319410
TP1,TestPoint_Pad_1.5x1.5mm,1,++5,
TP2,TestPoint_Pad_1.5x1.5mm,1,+5V,
U1,SOT-223-3_TabPin2,1,NCP1117-5.0_SOT223,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LMC555xM,
