Designator,Mid X,Mid Y,Rotation,Layer
C1,0.073947,-8.095258,0.0,top
C2,-3.412216,-6.949609,90.0,top
C3,2.332891,2.201849,90.0,top
C4,-4.181688,-0.859222,0.0,top
C5,14.674232,-1.628994,90.0,top
C6,10.925815,3.822919,0.0,top
C7,11.7,3.65,180.0,bottom
D1,-17.9625,24.9,0.0,top
D10,12.5375,-14.0,0.0,top
D11,-8.0125,18.95,0.0,top
D12,8.2375,19.05,0.0,top
D13,-24.9625,15.95,0.0,top
D14,25.0125,16.0,0.0,top
D2,18.0375,25.1,0.0,top
D3,0.0,9.7,0.0,top
D4,-23.5125,6.0,0.0,top
D5,23.5875,5.9,0.0,top
D6,-0.0125,-25.05,0.0,top
D7,-20.0125,-4.0,0.0,top
D8,19.9875,-4.0,0.0,top
D9,-13.0125,-14.0,0.0,top
Q1,8.176871,-9.503504,180.0,top
R1,-8.548978,-5.692661,90.0,top
R10,-17.181374,4.431393,180.0,top
R11,-15.145212,1.33055,90.0,top
R12,8.565216,-3.655942,180.0,top
R13,-5.478379,-10.679153,180.0,top
R14,-11.953486,6.225516,90.0,top
R15,-0.037708,-18.462137,270.0,top
R16,12.090851,14.7385,90.0,top
R17,14.857013,11.758956,90.0,top
R18,18.140394,13.582851,180.0,top
R2,3.671236,-16.851067,180.0,top
R3,-13.138521,-4.294415,180.0,top
R4,-22.592572,20.484764,90.0,top
R5,-15.570775,20.697589,90.0,top
R6,-5.357252,13.887202,270.0,top
R7,11.54416,1.664673,0.0,top
R8,-10.676795,2.181849,270.0,top
R9,-4.506125,8.140937,270.0,top
RV1,19.284831,9.812236,270.0,top
SW1,9.22018,9.610165,180.0,top
U1,2.135601,-3.347012,180.0,top
U3,17.18145,3.514673,90.0,top
